hour,price,action,charged_kwh,discharged_kwh,standby_loss_kwh,soc_kwh,cost,revenue,net_revenue
0,45.0,charge,136.20347222222222,0.0,0.0,136.20347222222222,6.129156249999999,0.0,-6.129156249999999
1,42.0,charge,0.009999999999990905,0.0,0.01,136.20347222222222,0.00041999999999961805,0.0,-0.00041999999999961805
2,38.0,charge,0.009999999999990905,0.0,0.01,136.20347222222222,0.0003799999999996544,0.0,-0.0003799999999996544
3,35.0,charge,0.009999999999990905,0.0,0.01,136.20347222222222,0.0003499999999996817,0.0,-0.0003499999999996817
4,34.0,charge,0.009999999999990905,0.0,0.01,136.20347222222222,0.0003399999999996908,0.0,-0.0003399999999996908
5,36.0,charge,0.009999999999990905,0.0,0.01,136.20347222222222,0.0003599999999996726,0.0,-0.0003599999999996726
6,48.0,charge,0.009999999999990905,0.0,0.01,136.20347222222222,0.00047999999999956346,0.0,-0.00047999999999956346
7,65.0,idle,0.0,0.0,0.01,136.19347222222223,0.0,0.0,0.0
8,82.0,idle,0.0,0.0,0.01,136.18347222222224,0.0,0.0,0.0
9,95.0,idle,0.0,0.0,0.01,136.17347222222224,0.0,0.0,0.0
10,110.0,discharge,0.0,101.1495557071347,0.01,0.0,0.0,11.126451127784817,11.126451127784817
11,120.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,115.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,100.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,88.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,72.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,68.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,90.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,130.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,145.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,138.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,105.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,75.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,55.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
